id;price;currency;condition;Marca;Puertas;Tipo de combustible;Kilómetros;Modelo;Versión;Año;adressstate_name;adresscity_name;Motor;Transmisión
153276;4167866;ARS;used;Jeep;5;Nafta;83010;Renegade;1.8 Sport At Plus;2018;Capital Federal;Capital Federal;1.8;Automática
171686;5452994;ARS;used;Jeep;5;Nafta;52153;Renegade;1.8 Longitude At6;2020;Capital Federal;Capital Federal;1.8;Automática
169031;5336628;ARS;used;Jeep;5;Nafta;24598;Renegade;1.8 Longitude At6;2020;Capital Federal;Capital Federal;1.8;Automática
172113;5238825;ARS;used;Jeep;5;Nafta;18000;Renegade;1.8 Longitude At6;2020;Capital Federal;Capital Federal;1.8;Automática
152205;5337070;ARS;used;Jeep;5;Nafta;12221;Renegade;1.8 Longitude At6;2020;Capital Federal;Capital Federal;1.8;Automática
171695;4101328;ARS;used;Jeep;5;Nafta;32471;Renegade;1.8 Sport;2020;Capital Federal;Capital Federal;1.8;Manual
159210;7603645;ARS;used;Kia;5;Diesel;47000;Carnival;2.2 Crdi Premium;2016;Capital Federal;Capital Federal;2.2;Automática
173546;4235552;ARS;used;Nissan;5;Nafta;64697;Kicks;1.6 Advance Cvt 120cv;2017;Capital Federal;Capital Federal;1.6;Automática
185243;4602672;ARS;used;Nissan;5;Nafta;36736;Kicks;1.6 Advance Cvt 120cv;2018;Capital Federal;Capital Federal;1.6;Automática
177987;3759914;ARS;used;Nissan;5;Nafta;80371;Kicks;1.6 Sense 120cv;2018;Capital Federal;Capital Federal;1.6;Manual
174532;4220301;ARS;used;Nissan;5;Nafta;57480;Kicks;1.6 Exclusive 120cv;2018;Capital Federal;Capital Federal;1.6;Automática
166053;4112380;ARS;used;Nissan;5;Nafta;29461;Kicks;1.6 Advance Cvt 120cv;2019;Capital Federal;Capital Federal;1.6;Automática
157651;5550450;ARS;used;Nissan;5;Nafta;23264;Kicks;1.6 Exclusive 120cv;2021;Capital Federal;Capital Federal;1.6;Automática
163570;2098376;ARS;used;Nissan;5;Nafta;;March;1.6 Active 107cv;2017;Capital Federal;Capital Federal;1.6;Manual
169912;2315180;ARS;used;Nissan;5;Nafta;69383;March;1.6 Sense 107cv;2017;Capital Federal;Capital Federal;1.6;Manual
177997;2128317;ARS;used;Nissan;5;Nafta;100523;March;1.6 Active 107cv;2018;Capital Federal;Capital Federal;1.6;Manual
172144;2158839;ARS;used;Nissan;5;Nafta;;March;1.6 Active 107cv;2018;Capital Federal;Capital Federal;1.6;Manual
172149;2158839;ARS;used;Nissan;5;Nafta;;March;1.6 Active 107cv;2018;Capital Federal;Capital Federal;1.6;Manual
177988;2286639;ARS;used;Nissan;5;Nafta;;March;1.6 Active 107cv;2019;Capital Federal;Capital Federal;1.6;Manual
154431;5305387;ARS;used;Nissan;4;Diesel;26340;NP300;2.3 Frontier Se Plus Cd 4x2 Mt;2019;Capital Federal;Capital Federal;2.3;Manual
177370;1484567;ARS;used;Nissan;5;Nafta;94898;Tiida;1.8 Visia 5 p;2011;Capital Federal;Capital Federal;1.8;Manual
132581;1476012;ARS;used;Peugeot;5;Nafta;90000;207;1.4 Allure 75cv;2015;Capital Federal;Capital Federal;1.4;Manual
183640;2611110;ARS;used;Peugeot;5;Nafta;76220;208;1.6 Feline Pack Cuir;2015;Capital Federal;Capital Federal;1.6;Manual
165175;2256660;ARS;used;Peugeot;5;Nafta;80213;208;1.5 Active;2017;Capital Federal;Capital Federal;1.5;Manual
183307;2998546;ARS;used;Peugeot;5;Nafta;44442;208;1.6 Feline;2017;Capital Federal;Capital Federal;1.6;Manual
176969;3236473;ARS;used;Peugeot;5;Nafta;49306;208;1.6 Feline Tiptronic;2017;Capital Federal;Capital Federal;1.6;Manual
182518;2602682;ARS;used;Peugeot;5;Nafta;46431;208;1.6 Active;2018;Capital Federal;Capital Federal;1.6;Manual
184831;2622480;ARS;used;Peugeot;5;Nafta;37188;208;1.6 Active;2018;Capital Federal;Capital Federal;1.6;Manual
179052;3118428;ARS;used;Peugeot;5;Nafta;42633;208;1.6 Feline;2018;Capital Federal;Capital Federal;1.6;Manual
181386;3255932;ARS;used;Peugeot;5;Nafta;32049;208;1.6 Feline;2018;Capital Federal;Capital Federal;1.6;Manual
180175;3117539;ARS;used;Peugeot;5;Nafta;60488;208;1.6 Feline;2018;Capital Federal;Capital Federal;1.6;Manual
183074;3639708;ARS;used;Peugeot;5;Nafta;59756;208;1.6 Gt Thp;2018;Capital Federal;Capital Federal;1.6;Manual
183635;3325446;ARS;used;Peugeot;5;Nafta;46835;208;1.6 Allure;2020;Capital Federal;Capital Federal;1.6;Manual
185078;4028209;ARS;used;Peugeot;5;Nafta;27297;208;1.6 Gt Thp;2020;Capital Federal;Capital Federal;1.6;Manual
171758;2140141;ARS;used;Peugeot;4;Nafta;55776;301;1.6 Allure;2017;Capital Federal;Capital Federal;1.6;Manual
139486;2316219;ARS;used;Peugeot;4;Nafta;78027;301;1.6 Allure;2017;Capital Federal;Capital Federal;1.6;Manual
136637;2230090;ARS;used;Peugeot;4;Nafta;89000;301;1.6 Allure Plus;2018;Capital Federal;Capital Federal;1.6;Manual
159489;1724561;ARS;used;Peugeot;5;Nafta;84722;308;1.6 Allure;2012;Capital Federal;Capital Federal;1.6;Manual
172409;1961301;ARS;used;Peugeot;5;Nafta;87599;308;1.6 Allure Nav 115cv;2013;Capital Federal;Capital Federal;1.6;Manual
184940;2059242;ARS;used;Peugeot;5;Nafta;94051;308;1.6 Allure Nav 115cv;2013;Capital Federal;Capital Federal;1.6;Manual
172382;2454253;ARS;used;Peugeot;5;Nafta;53119;308;1.6 Sport Thp 163cv;2013;Capital Federal;Capital Federal;1.6;Automática
163790;2246372;ARS;used;Peugeot;5;Diesel;62597;308;1.6 Allure Nav Hdi 115cv;2013;Capital Federal;Capital Federal;1.6;Manual
